"Status","Name","Duration in ms","Description"
"skipped","To search appium in google & verify appium webpage Navigate to appium's official website.I should be navigated to appium's official site ""http://appium.io/""","0",""
"skipped","To search appium in google & verify appium webpage Navigate to appium's official website.I verify the title of the page to be ""Appium: Mobile App Automation Made Awesome.""","1",""
"skipped","To search appium in google & verify appium webpage Navigate & verify appium tutorial page.I verify the title of android tutorial page to be ""Native Android Automation""","0",""
"broken","To search appium in google & verify appium webpage Appium Google Search.I type ""appium""","64",""
"skipped","To search appium in google & verify appium webpage Appium Google Search.I click on search button","0",""
"passed","To search appium in google & verify appium webpage Appium Google Search.I am on google page","40",""
"broken","To search appium in google & verify appium webpage Navigate & verify appium tutorial page.I click on top menu button","51",""
"skipped","To search appium in google & verify appium webpage Navigate & verify appium tutorial page.I click on tutorial link","1",""
"skipped","To search appium in google & verify appium webpage Appium Google Search.appium links should be displayed","0",""
"skipped","To search appium in google & verify appium webpage Navigate & verify appium tutorial page.I click on android tutorial link","1",""
"broken","To search appium in google & verify appium webpage Navigate to appium's official website.I click on first search link","172",""
